,race_year_id,event,race,country,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,country_code,year,month,day,frequency_in_ranking,equivalent_distance,weighted_elevation
1087,4406,Angeles Crest 100 Mile Endurance Run,Angeles Crest 100 Mile Endurance Run,United States,solo,160.8,6350.0,-7770.0,0,74,USA,2013,08,03,74,224.3,0.2831029870708872
1088,6325,HEADLANDS HUNDRED,HEADLANDS HUNDRED 100 MILE ENDURANCE RUN,United States,solo,161.0,6120.0,-6120.0,0,48,USA,2013,08,03,48,222.2,0.27542754275427545
1089,4951,STUNT 100,STUNT 100,Germany,solo,161.0,4380.0,-4380.0,0,19,DEU,2013,08,03,19,204.8,0.21386718749999997
1090,4303,Burning River Endurance Run,100 Mile,United States,solo,161.0,2470.0,-2470.0,0,152,USA,2013,07,27,152,185.7,0.13301023155627356
1091,4314,Chiemgauer 100,100 Mile,Germany,solo,160.0,7500.0,-7500.0,0,12,DEU,2013,07,26,12,235.0,0.3191489361702128
1092,4025,LAKELAND,LAKELAND 100,United Kingdom,solo,161.0,6300.0,-6300.0,0,124,GBR,2013,07,26,124,224.0,0.28125
1093,4343,Tahoe Rim Trail Endurance Run,100 Mile,United States,solo,161.0,6030.0,-6030.0,0,118,USA,2013,07,20,118,221.3,0.272480795300497
1094,4301,Vermont 100 Endurance Race,100M,United States,solo,161.0,4290.0,-4290.0,0,200,USA,2013,07,20,200,203.9,0.21039725355566452
1095,5768,OSJ Ontake Ultra-Trail®?,100 Miles,Japan,solo,155.0,4200.0,-4200.0,0,28,JPN,2013,07,13,28,197.0,0.2131979695431472
1096,6662,Ehunmilak Ultra-Trail®,Ehunmilak Ultra-Trail®,Spain,solo,168.0,10500.0,-10500.0,0,81,ESP,2013,07,12,81,273.0,0.38461538461538464
1097,4284,HARDROCK 100 ENDURANCE RUN,100Mi CC,United States,solo,161.8,10365.0,-10365.0,0,106,USA,2013,07,12,106,265.45000000000005,0.39046901488039176
1098,6102,Salomon Xreid Hardangervidda,Salomon Xreid Hardangervidda,Norway,solo,155.7,4800.0,-4800.0,0,17,NOR,2013,07,12,17,203.7,0.23564064801178206
1099,4672,TRANSJURA,TRANSJURA - BASIC,Poland,solo,164.0,3500.0,-3500.0,0,28,POL,2013,07,05,28,199.0,0.17587939698492464
1100,4332,BLACK HILLS 100,BLACK HILLS 100 - 100 MILES,United States,solo,161.0,4400.0,-4400.0,0,64,USA,2013,06,29,64,205.0,0.2146341463414634
1101,4297,Western States Endurance Run,Western States Endurance Run,United States,solo,161.0,5510.0,-7000.0,0,278,USA,2013,06,29,278,216.1,0.25497454881999077
1102,5779,Andorra Ultra Trail Vallnord,ANDORRA RONDA DELS CIMS,Andorra,solo,171.0,12100.0,-12100.0,0,145,AND,2013,06,21,145,292.0,0.4143835616438356
1103,4267,Ultra-Trail South West,100 Miles,United Kingdom,solo,155.0,5466.0,-5466.0,0,35,GBR,2013,06,21,35,209.66,0.26070781264905085
1104,4081,Centurion South Downs Way 100,Centurion South Downs Way 100,United Kingdom,solo,160.4,3442.0,-3500.0,0,142,GBR,2013,06,15,142,194.82,0.17667590596448005
