,race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants
402,38839.0,Cactus Rose,100 Mile,Bandera,United States,2018-10-28,05:00:00,solo,162.4,3500.0,-3500.0,20.0,0.0
403,29783.0,White Rose Ultra,100 Mile,Huddersfield,United Kingdom,2018-10-28,00:00:00,solo,165.4,4380.0,-4430.0,5.0,60.0
404,38825.0,Halloween hike,160 km,Kannonkoski,Finland,2018-10-27,08:00:00,solo,168.6,2080.0,-2080.0,5.0,0.0
406,32035.0,Javelina Jundred,100 Miles,FortMcDowell,United States,2018-10-27,06:00:00,solo,160.2,2300.0,-2300.0,26.0,799.0
407,33019.0,GRAN VUELTA VALLE DEL GENAL,100 MILLAS DEL GENAL,BENARRABA,Spain,2018-10-26,20:00:00,solo,162.8,8020.0,-7490.0,17.0,150.0
408,36373.0,Indomit costa esmeralda ultra-trail®,100 MILLES,Gramado,Brazil,2018-10-26,07:00:00,solo,160.3,4730.0,-4730.0,12.0,50.0
409,27391.0,Ultra Sovev Emek,Sovev Emek 166 KM,36581,,2018-10-25,07:00:00,solo,166.0,2250.0,-2230.0,14.0,0.0
410,36091.0,Bèrghem Ultra Trail,Furuberget Endurance,Hamar,Norway,2018-10-20,10:00:00,solo,169.7,7440.0,-7440.0,18.0,50.0
411,41951.0,GHOST TRAIN RAIL TRAIL RACE 100,100 Mi,,United States,2018-10-20,00:00:00,solo,161.0,1610.0,-1600.0,0.0,0.0
412,30573.0,Dalmacija Ultra-Trail®,Sky Dut,Omiš,Croatia,2018-10-19,14:00:00,solo,159.3,7140.0,-7170.0,14.0,150.0
413,32713.0,Mines of Spain,100 Mile,Davenport,United States,2018-10-19,08:00:00,solo,170.0,4360.0,-4360.0,19.0,0.0
414,37943.0,Rodopi Ultra Trail,Rodopi Advendurun,Haidou,Greece,2018-10-19,06:00:00,solo,163.0,6910.0,-6910.0,6.0,200.0
415,30965.0,Le Grand Raid De La Réunion,La Diagonale Des Fous,SaintDenis,France,2018-10-18,22:00:00,solo,168.1,9610.0,-9560.0,17.0,2900.0
416,30411.0,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,2018-10-13,10:00:00,solo,161.1,1580.0,-1580.0,14.0,250.0
417,29481.0,Cloudsplitter 100,100 Mile,Norton,United States,2018-10-13,08:00:00,solo,166.3,5310.0,-5310.0,21.0,100.0
